ACSST5Y2019.S1401_data_with_overlays_2022-02-23T191210
GEO_ID,NAME,Total 18-24-Year-Olds,!8-24-Year-Olds Enrolled in College/Graduate School
0500000US08001,Adams County,43993,11388
0500000US08003,Alamosa County,2555,1366
0500000US08005,Arapahoe County,53084,16650
0500000US08007,Archuleta County,814,130
0500000US08009,Baca County,205,49
0500000US08011,Bent County,375,34
0500000US08013,Boulder County,47309,31517
0500000US08014,Broomfield County,5153,1563
0500000US08015,Chaffee County,1090,161
0500000US08017,Cheyenne County,80,21
0500000US08019,Clear Creek County,614,83
0500000US08021,Conejos County,678,166
0500000US08023,Costilla County,268,52
0500000US08025,Crowley County,1162,179
0500000US08027,Custer County,248,15
0500000US08029,Delta County,2191,432
0500000US08031,Denver County,57171,22169
0500000US08033,Dolores County,51,12
0500000US08035,Douglas County,24967,9389
0500000US08037,Eagle County,4183,989
0500000US08039,Elbert County,1819,574
0500000US08041,El Paso County,76983,27607
0500000US08043,Fremont County,2884,249
0500000US08045,Garfield County,4777,1144
0500000US08047,Gilpin County,277,76
0500000US08049,Grand County,1053,157
0500000US08051,Gunnison County,3293,2021
0500000US08053,Hinsdale County,16,0
0500000US08055,Huerfano County,389,117
0500000US08057,Jackson County,102,38
0500000US08059,Jefferson County,44894,17353
0500000US08061,Kiowa County,100,19
0500000US08063,Kit Carson County,453,64
0500000US08065,Lake County,788,169
0500000US08067,La Plata County,5234,2345
0500000US08069,Larimer County,49609,28486
0500000US08071,Las Animas County,1207,445
0500000US08073,Lincoln County,345,19
0500000US08075,Logan County,2627,1104
0500000US08077,Mesa County,14014,5934
0500000US08079,Mineral County,31,7
0500000US08081,Moffat County,873,60
0500000US08083,Montezuma County,1728,370
0500000US08085,Montrose County,2883,645
0500000US08087,Morgan County,2690,337
0500000US08089,Otero County,1735,564
0500000US08091,Ouray County,182,13
0500000US08093,Park County,936,400
0500000US08095,Phillips County,347,47
0500000US08097,Pitkin County,1364,411
0500000US08099,Prowers County,1177,446
0500000US08101,Pueblo County,14888,5078
0500000US08103,Rio Blanco County,624,313
0500000US08105,Rio Grande County,1039,351
0500000US08107,Routt County,1933,639
0500000US08109,Saguache County,326,111
0500000US08111,San Juan County,28,11
0500000US08113,San Miguel County,555,100
0500000US08115,Sedgwick County,124,19
0500000US08117,Summit County,2313,525
0500000US08119,Teller County,1470,366
0500000US08121,Washington County,367,41
0500000US08123,Weld County,28403,12083
0500000US08125,Yuma County,694,205
